"k","exp","H","motivation"
"1.0","2.0","0.0","0.04742587317756678"
"1.0","2.0","0.5","0.07585818002124355"
"1.0","2.0","1.0","0.11920292202211755"
"1.0","2.0","1.5","0.18242552380635635"
"1.0","2.0","2.0","0.2689414213699951"
"1.0","2.0","2.5","0.3775406687981454"
"1.0","2.0","3.0","0.5"
"1.0","2.0","3.5","0.6224593312018546"
"1.0","2.0","4.0","0.7310585786300049"
"1.0","2.0","4.5","0.8175744761936437"
"1.0","2.0","5.0","0.8807970779778823"
"1.0","2.0","5.5","0.9241418199787566"
"1.0","2.1","0.0","0.05215356307841774"
"1.0","2.1","0.5","0.08317269649392238"
"1.0","2.1","1.0","0.13010847436299786"
"1.0","2.1","1.5","0.19781611144141825"
"1.0","2.1","2.0","0.28905049737499605"
"1.0","2.1","2.5","0.401312339887548"
"1.0","2.1","3.0","0.52497918747894"
"1.0","2.1","3.5","0.6456563062257954"
"1.0","2.1","4.0","0.7502601055951177"
"1.0","2.1","4.5","0.8320183851339245"
"1.0","2.1","5.0","0.8909031788043871"
"1.0","2.1","5.5","0.9308615796566533"
"1.0","2.2","0.0","0.057324175898868755"
"1.0","2.2","0.5","0.09112296101485616"
"1.0","2.2","1.0","0.14185106490048782"
"1.0","2.2","1.5","0.21416501695744142"
"1.0","2.2","2.0","0.31002551887238755"
"1.0","2.2","2.5","0.4255574831883411"
"1.0","2.2","3.0","0.549833997312478"
"1.0","2.2","3.5","0.6681877721681662"
"1.0","2.2","4.0","0.7685247834990178"
"1.0","2.2","4.5","0.8455347349164652"
"1.0","2.2","5.0","0.9002495108803148"
"1.0","2.2","5.5","0.9370266439430035"
"1.0","2.3","0.0","0.06297335605699649"
"1.0","2.3","0.5","0.09975048911968513"
"1.0","2.3","1.0","0.15446526508353467"
"1.0","2.3","1.5","0.23147521650098232"
"1.0","2.3","2.0","0.33181222783183384"
"1.0","2.3","2.5","0.45016600268752205"
"1.0","2.3","3.0","0.5744425168116589"
"1.0","2.3","3.5","0.6899744811276125"
"1.0","2.3","4.0","0.7858349830425586"
"1.0","2.3","4.5","0.8581489350995123"
"1.0","2.3","5.0","0.9088770389851438"
"1.0","2.3","5.5","0.9426758241011313"
"1.0","2.4","0.0","0.06913842034334682"
"1.0","2.4","0.5","0.10909682119561294"
"1.0","2.4","1.0","0.16798161486607552"
"1.0","2.4","1.5","0.24973989440488234"
"1.0","2.4","2.0","0.35434369377420455"
"1.0","2.4","2.5","0.47502081252106"
"1.0","2.4","3.0","0.598687660112452"
"1.0","2.4","3.5","0.7109495026250039"
"1.0","2.4","4.0","0.8021838885585817"
"1.0","2.4","4.5","0.8698915256370021"
"1.0","2.4","5.0","0.9168273035060777"
"1.0","2.4","5.5","0.9478464369215823"
"1.0","2.5","0.0","0.07585818002124355"
"1.0","2.5","0.5","0.11920292202211755"
"1.0","2.5","1.0","0.18242552380635635"
"1.0","2.5","1.5","0.2689414213699951"
"1.0","2.5","2.0","0.3775406687981454"
"1.0","2.5","2.5","0.5"
"1.0","2.5","3.0","0.6224593312018546"
"1.0","2.5","3.5","0.7310585786300049"
"1.0","2.5","4.0","0.8175744761936437"
"1.0","2.5","4.5","0.8807970779778823"
"1.0","2.5","5.0","0.9241418199787566"
"1.0","2.5","5.5","0.9525741268224334"
"1.0","2.6","0.0","0.08317269649392238"
"1.0","2.6","0.5","0.13010847436299786"
"1.0","2.6","1.0","0.19781611144141825"
"1.0","2.6","1.5","0.28905049737499605"
"1.0","2.6","2.0","0.401312339887548"
"1.0","2.6","2.5","0.52497918747894"
"1.0","2.6","3.0","0.6456563062257954"
"1.0","2.6","3.5","0.7502601055951177"
"1.0","2.6","4.0","0.8320183851339245"
"1.0","2.6","4.5","0.8909031788043871"
"1.0","2.6","5.0","0.9308615796566533"
"1.0","2.6","5.5","0.9568927450589139"
"1.0","2.7","0.0","0.09112296101485616"
"1.0","2.7","0.5","0.14185106490048782"
"1.0","2.7","1.0","0.21416501695744142"
"1.0","2.7","1.5","0.31002551887238755"
"1.0","2.7","2.0","0.4255574831883411"
"1.0","2.7","2.5","0.549833997312478"
"1.0","2.7","3.0","0.6681877721681662"
"1.0","2.7","3.5","0.7685247834990178"
"1.0","2.7","4.0","0.8455347349164652"
"1.0","2.7","4.5","0.9002495108803148"
"1.0","2.7","5.0","0.9370266439430035"
"1.0","2.7","5.5","0.9608342772032357"
"1.0","2.8","0.0","0.09975048911968513"
"1.0","2.8","0.5","0.15446526508353467"
"1.0","2.8","1.0","0.23147521650098232"
"1.0","2.8","1.5","0.33181222783183384"
"1.0","2.8","2.0","0.45016600268752205"
"1.0","2.8","2.5","0.5744425168116589"
"1.0","2.8","3.0","0.6899744811276125"
"1.0","2.8","3.5","0.7858349830425586"
"1.0","2.8","4.0","0.8581489350995123"
"1.0","2.8","4.5","0.9088770389851438"
"1.0","2.8","5.0","0.9426758241011313"
"1.0","2.8","5.5","0.9644288107273639"
"1.0","2.9","0.0","0.10909682119561294"
"1.0","2.9","0.5","0.16798161486607552"
"1.0","2.9","1.0","0.24973989440488234"
"1.0","2.9","1.5","0.35434369377420455"
"1.0","2.9","2.0","0.47502081252106"
"1.0","2.9","2.5","0.598687660112452"
"1.0","2.9","3.0","0.7109495026250039"
"1.0","2.9","3.5","0.8021838885585817"
"1.0","2.9","4.0","0.8698915256370021"
"1.0","2.9","4.5","0.9168273035060777"
"1.0","2.9","5.0","0.9478464369215823"
"1.0","2.9","5.5","0.9677045353015494"
